FACILITY,TOTAL REVENUE,Branch
EMRET PHARMACY,305.27,OFANKOR WHOLESALE
D. K  ASANTE  CHEMICAL,305.20,ABEKA WHOLESALE
EXCEL CHEMICAL SHOP,304.50,TANTRA HILL WHOLESALE
SAMINGO PHARMACY,304.00,KORLE-BU WHOLESALE
LIBERTY PHARMACY,303.98,OKAISHIE WHOLESALE
GOIL FILLING STATION,303.91,ASHAIMAN WHOLESALE
SARAH CHEMICALS,303.77,OKAISHIE WHOLESALE
ALFRED CHEMISTS,303.45,TANTRA HILL WHOLESALE
GRACE CARE PHARMACY,302.14,AKUKOR FOTO WHOLESALE
ANYAA POLYCLINIC,302.00,OKAISHIE WHOLESALE
MAWULOLO CHEMICAL SHOP,300.34,OFANKOR WHOLESALE
LENA PHARMACY,300.00,ASHAIMAN WHOLESALE
PENIEL CHEMICAL,299.82,OFANKOR WHOLESALE
GOSHEN EYECARE CENTER,298.31,DOME WHOLESALE
RABBITO CLINIC,297.60,OKAISHIE WHOLESALE
SAMGYEN PHARMACY,297.00,DOME WHOLESALE
GYE NYAME CHEMICALS SHOP,295.95,AKUKOR FOTO WHOLESALE
ALL IS WELL PHARMACY,294.00,OKAISHIE WHOLESALE
BOB FREEMAN CLINIC,294.00,KORLE-BU WHOLESALE
CREAMSY CHEMICAL,292.66,KASOA WHOLESALE
GRACE OTC,291.88,OKAISHIE WHOLESALE
BRIGHT CHEMICAL SHOP,290.95,ABEKA WHOLESALE
EDWARD  MANU CHEMICAL,290.32,ABEKA WHOLESALE
PAUL K ASANTE CHEMICAL SHOP,290.22,REPUBLIC WHOLESALE
LUMINA PHARMACY,288.00,OKAISHIE WHOLESALE
ADAM FAMILY CLINIC,287.60,AKUKOR FOTO WHOLESALE
FOCUS PHARMACY LTD,286.00,OKAISHIE WHOLESALE
RAY CHEMICALS,285.42,TANTRA HILL WHOLESALE
MIAMI COMMUNITY CLINIC,285.00,KORLE-BU WHOLESALE
IMMACULATE CHEMICAL SHOP,284.67,KORLE-BU WHOLESALE
PLATINUM STAR HERBAL SHOP,284.60,DOME WHOLESALE
ROSTEN CHEMICAL,284.19,MALLAM WHOLESALE
AFRIQ PHARMACY,283.55,OKAISHIE WHOLESALE
G. AGBENYAGA CHEMICAL,283.10,TANTRA HILL WHOLESALE
HELIJONS PHARMACY,282.90,OSU WHOLESALE
HOPE COLLEGE,281.62,KORLE-BU WHOLESALE
PANTO PHARMACY LTD,281.00,DANSOMAN MARKET WHOLESALE
SAMGIFT CHEMICAL SHOP,280.52,REPUBLIC WHOLESALE
BLESSED OTC,280.00,KORLE-BU WHOLESALE
HOME OFFICE PHARMACY,280.00,OKAISHIE WHOLESALE
KEBE PHARMACY,280.00,OKAISHIE WHOLESALE
KIN-ADA PHARMACY,280.00,OFANKOR WHOLESALE
MEDI GRACE PHARMACY,280.00,OKAISHIE WHOLESALE
REXOPHARMA LTD-WHOLESALE / RETAIL,280.00,KUMASI WHOLESALE
SARKUFF PHARMACY,280.00,OKAISHIE WHOLESALE
IMILDA CHEMICA,279.85,NANAKROM WHOLESALE
ANNOINTED CHEMICAL SHOP,279.72,AKUKOR FOTO WHOLESALE
FRANWEN PHARMACY,278.95,OKAISHIE WHOLESALE
KINGS AND ROYAL PHARMACY-RETAIL,278.40,KUMASI WHOLESALE
NICODOH PHARMACY,278.06,OKAISHIE WHOLESALE
DEMENS PHARMACY (MCCARTHY),278.04,DANSOMAN MARKET WHOLESALE
HOBET PHARMACY,277.60,OKAISHIE WHOLESALE
ADDE PHARMA,276.86,OKAISHIE WHOLESALE
JOVEL PHARMACY,275.46,NANAKROM WHOLESALE
EMMANUEL CHEMICAL SHOP,275.00,OKAISHIE WHOLESALE
HEALTH TOWER PHARMACY,275.00,ABEKA WHOLESALE
HEALTHY SOUL CHEMICAL,275.00,OKAISHIE WHOLESALE
NANA ONE CHEMIBCAL,274.54,OKAISHIE WHOLESALE
WENKOR CHEMIST,272.62,KORLE-BU WHOLESALE
RIVER STATE PHARMACY,272.42,TANTRA HILL WHOLESALE
PASMAX PHARMACY,272.26,OSU WHOLESALE
COFFIE CHEMIST,272.02,KASOA WHOLESALE
J M CHEMICAL SHOP,271.10,OFANKOR WHOLESALE
SKYCARE PHARMACY,270.30,OKAISHIE WHOLESALE
2C PHARMACY,270.00,AKUKOR FOTO WHOLESALE
3E MEDICAL CENTRE,270.00,KORLE-BU WHOLESALE
ANOAH MOTHERCARE,270.00,OKAISHIE WHOLESALE
BIOPLUS PHARMACY,270.00,KORLE-BU WHOLESALE
DEWLAND CHEMIST,270.00,MALLAM WHOLESALE
DR AMEKUDZI,270.00,KORLE-BU WHOLESALE
IMPACT MEDICAL,270.00,KORLE-BU WHOLESALE
PHOENIX CHEMICAL,270.00,MALLAM WHOLESALE
NEA PHARMACY LTD,269.40,ABEKA WHOLESALE
AMI PHARMACY,269.20,TANTRA HILL WHOLESALE
JOS PHARMACEUTICALS,268.00,DANSOMAN MARKET WHOLESALE
LOD  MEDICAL &  FERTILITY CENTER,268.00,REPUBLIC WHOLESALE
NOBEL CHEMIST,266.60,DANSOMAN MARKET WHOLESALE
KANESHIE POLYCLINIC,266.00,OFANKOR WHOLESALE
ASARE CHEMICAL,264.00,OFANKOR WHOLESALE
EMAD PHARMACY,264.00,OKAISHIE WHOLESALE
OHENE SARPONG CHEMICAL,263.10,ABEKA WHOLESALE
PHILIP BAAFO) CHEMICAL SHOP,262.40,KASOA WHOLESALE
E. O. A CHEMICALS,262.00,DANSOMAN MARKET WHOLESALE
JOSHUA  HAMMOND  CHEMICAL,261.50,ABEKA WHOLESALE
91 DEGREES LTD,261.43,AKUKOR FOTO WHOLESALE
SAMUEL TETTEH CHEMICAL,261.20,MALLAM WHOLESALE
DANKWA CHEMICAL,260.45,ABEKA WHOLESALE
FAYAK CHEMICALS,260.16,TANTRA HILL WHOLESALE
GILEAD PHARMACY,260.00,KASOA WHOLESALE
HOLY BRIDGE CLINIC,260.00,OSU WHOLESALE
MARYLAND CHEMICAL SHOP,260.00,ABEKA WHOLESALE
SSB LICENSED CHEMICAL SHOP,259.90,MALLAM WHOLESALE
ABIGAIL CHEMICAL SHOP,259.75,ABEKA WHOLESALE
3M PHARMACY LIMITED,259.00,MALLAM WHOLESALE
MARY'S CHEMICALS,258.00,OKAISHIE WHOLESALE
PHARMAPLUS ENTERPRISE,257.60,KORLE-BU WHOLESALE
BLESSED CHEMIST,257.56,MALLAM WHOLESALE
MATAHEKO PHARMACY,256.60,MALLAM WHOLESALE
PAEDIATRIC ONCOLOGY,255.00,KORLE-BU WHOLESALE
PERFECT VERTINARY,255.00,KORLE-BU WHOLESALE
NATIONS HOME VERTINARY,254.00,OFANKOR WHOLESALE
ABIGAIL AGYEKUM CHEMICAL SHOP,253.00,OKAISHIE WHOLESALE
HARRIET DEBRAH LISCENCE CHEMICAL,252.56,TANTRA HILL WHOLESALE
ABFD PHARMACY LTD,252.50,KORLE-BU WHOLESALE
JORAMAY PHARMACY,251.82,OKAISHIE WHOLESALE
KBS CHEMICALS- BONTRASE,251.60,KASOA WHOLESALE
MARK CHEMICALS,251.60,MALLAM WHOLESALE
ABYMIC PHARMACY,250.00,OFANKOR WHOLESALE
KHENIS BEE ROYALS,250.00,OKAISHIE WHOLESALE
PRESCRIPTION PLUS PHARMACY,250.00,OKAISHIE WHOLESALE
ROYAL HOSPITAL HO,250.00,OKAISHIE WHOLESALE
SETHVIDE ENTERPRISE,250.00,DOME WHOLESALE
SHARUBUTU SCHOOL,249.72,OKAISHIE WHOLESALE
DANIELLA CHEMIST,249.45,TANTRA HILL WHOLESALE
WESTERN MD PHARMACY,248.77,MALLAM WHOLESALE
DANEST HEALTH HUB,248.54,TANTRA HILL WHOLESALE
ASKVILLE CLINIC,248.10,DOME WHOLESALE
LESSON PHARMACY,247.98,REPUBLIC WHOLESALE
AMPOMA PHARMACY,247.29,KORLE-BU WHOLESALE
CHRISTIAN COMMUNITY MEDICAL CENTRE,247.10,KORLE-BU WHOLESALE
PATTYVERA PHARMACY,246.75,DOME WHOLESALE
MWIN TUBA HOSPITAL & COLO-PROTOLOGY CENTRE LTD,245.60,KASOA WHOLESALE
JOEPHARMA LTD,245.50,KORLE-BU WHOLESALE
SUPREME BOX PHARMACY,245.00,ABEKA WHOLESALE
PHARMHAUS CHEMIST LIMITED,244.00,OKAISHIE WHOLESALE
ELIZABETH OPPONG CHEMICALS,243.78,TANTRA HILL WHOLESALE
LEKMA HOSPITAL,243.00,REPUBLIC WHOLESALE
PRIME HEALTH SERVICES,242.96,OKAISHIE WHOLESALE
GRACE DIAGNOSE CENTER,242.10,TANTRA HILL WHOLESALE
A. A. BOATENG CHEMICAL,242.00,MALLAM WHOLESALE
MINIMAX PHARMACY LABONE,242.00,DANSOMAN MARKET WHOLESALE
GENTS AVENUE,241.56,MALLAM WHOLESALE
OWUSUAH  CHEMICAL,241.30,MALLAM WHOLESALE
NEW CROSS MEDICAL CENTRE,241.04,OSU WHOLESALE
GLORY CHEMICAL SHOP,240.72,REPUBLIC WHOLESALE
PHARMALOT PHARMACY,240.50,OKAISHIE WHOLESALE
ADEPA PHARMACY,240.00,KORLE-BU WHOLESALE
EFAN VICTORY CLINIC,240.00,OKAISHIE WHOLESALE
HEALTHWISE MEDICAL SERVICES LTD,240.00,OKAISHIE WHOLESALE
RITA CHEMICAL,240.00,MALLAM WHOLESALE
STRIPES PHARMACY,240.00,OKAISHIE WHOLESALE
TRINITY CHEMICAL SHOP,237.94,OFANKOR WHOLESALE
OLIVE HEALTH PHARMACY,237.00,OSU WHOLESALE
ERIC  OTCHERE EVERYDAY,236.58,MALLAM WHOLESALE
LYDIA PHARMACY,236.56,ABEKA WHOLESALE
GET AID PHARMACY,236.30,OKAISHIE WHOLESALE
TRAVAILERS PHARMACY,235.96,KORLE-BU WHOLESALE
EUNICE DZASA CHEMICAL,235.60,DANSOMAN MARKET WHOLESALE
SR BOATENG CHEMICALS,235.51,OKAISHIE WHOLESALE
PILL BAY PHARMACY,235.24,ABEKA WHOLESALE
VICTORY  HERBAL,235.20,NANAKROM WHOLESALE
SARAH BLAMKSON OTC,232.00,KORLE-BU WHOLESALE
SAM HEALTH PHARMACY,231.76,OKAISHIE WHOLESALE
THERESA CHEMICAL SHOP,230.74,DANSOMAN MARKET WHOLESALE
CARE 4 HEALTH PHARMACY,230.40,OKAISHIE WHOLESALE
CITAROAM PHARM,230.34,TANTRA HILL WHOLESALE
D & H PHARMACY LTD,230.00,AKUKOR FOTO WHOLESALE
JUDITH CLINIC,229.97,MALLAM WHOLESALE
AFAD PHARMACY,229.85,MALLAM WHOLESALE
HILTON CHEMIST,227.59,ABEKA WHOLESALE
DOSTY PHARMACY,225.70,OKAISHIE WHOLESALE
N - GEO PHARMACY,225.00,OKAISHIE WHOLESALE
ROBBIES CHEMIST,225.00,ABEKA WHOLESALE
EYE SURANCE,224.50,ABEKA WHOLESALE
ZAC CHEMICALS,223.74,ABEKA WHOLESALE
DOREEN CHEMICAL,223.44,ABEKA WHOLESALE
BELMORE PHARMACY,222.00,OKAISHIE WHOLESALE
ERAMA  MEDICAL  CENTRE,221.63,ABEKA WHOLESALE
ELIKEM DOT PHARMACY,221.00,OKAISHIE WHOLESALE
BAAS PHARMA LTD,220.00,OKAISHIE WHOLESALE
GRACE LOVE PHARMACY,220.00,AKUKOR FOTO WHOLESALE
TAJDEAROL PHARMACY,220.00,MALLAM WHOLESALE
TOPMAS PHARMACY,220.00,OKAISHIE WHOLESALE
VINE MEDICAL CENTRE,220.00,ABEKA WHOLESALE
FIRST POINT PHARMACY,219.80,MALLAM WHOLESALE
NAYRAM PHARMACY LTD,219.60,OKAISHIE WHOLESALE
SENTILS VENTURES,219.38,ABEKA WHOLESALE
MR DAVID KORBOE,217.80,KUMASI WHOLESALE
GRACE LOVE PHARMACY,217.72,OFANKOR WHOLESALE
SUE'S CHEMICAL,216.60,MALLAM WHOLESALE
PERFECT PEACE HOTEL,216.48,OFANKOR WHOLESALE
UNIK VIEW CHEMICAL,216.24,OKAISHIE WHOLESALE
FIDELITY PHARMACY,216.16,ABEKA WHOLESALE
FSC MEDICAL SUPPLY,216.10,KORLE-BU WHOLESALE
GANDHI,216.10,OKAISHIE WHOLESALE
EASY ACCESS PHARMACY,216.00,KASOA WHOLESALE
MADAM CATHERINE CLINIC,216.00,DANSOMAN MARKET WHOLESALE
NAFELIA CHEMICALS,216.00,OKAISHIE WHOLESALE
REBECA CHEMICAL,215.80,MALLAM WHOLESALE
ROYAL CHEMICAL,215.58,OFANKOR WHOLESALE
TOPTICS,215.20,NANAKROM WHOLESALE
CLEOVER CHEMICAL,214.53,MALLAM WHOLESALE
ROCK CHEMISTS - KWABENYA,214.50,DANSOMAN MARKET WHOLESALE
TRIPPLE B PHARMACY,214.32,OKAISHIE WHOLESALE
MED CENTRE PHARMACY,214.00,REPUBLIC WHOLESALE
TOHABA PHARMACY,213.84,OKAISHIE WHOLESALE
V. TUFFOUR CHEMICAL,212.21,OKAISHIE WHOLESALE
JOVENA CHEMICAL,212.00,AKUKOR FOTO WHOLESALE
PATTYVERA PHARMACY,212.00,KASOA WHOLESALE
THEODORE  PHARMACY,212.00,ABEKA WHOLESALE
LB PHARMACY,211.30,OKAISHIE WHOLESALE
MERRYSA AND MAY PHARMACY,211.20,OKAISHIE WHOLESALE
DEVIN PHARMACY,210.90,DANSOMAN MARKET WHOLESALE
R. A CHEMICALS,210.80,ABEKA WHOLESALE
OKYERE'S CHEMICAL,210.78,OKAISHIE WHOLESALE
DAISY PHARMACY,210.56,DANSOMAN MARKET WHOLESALE
BEACON PHARMACY,210.00,KORLE-BU WHOLESALE
DIVINE NETCARE HOSPITAL,210.00,KUMASI WHOLESALE
OKANTA MEMORIAL HOSPITAL,210.00,ASHAIMAN WHOLESALE
MILE 11 PHARMACY LTD,209.70,KORLE-BU WHOLESALE
ANSA PHARMA - KORLE-BU,208.60,OKAISHIE WHOLESALE
PALACE PHARMACY,208.00,REPUBLIC WHOLESALE
GOLDEN SIKA PHARMACY,207.11,OSU WHOLESALE
NEEK ROYALE PHARMACY,207.11,ABEKA WHOLESALE
MIDLAND CHEMIST LIMITED,207.00,DANSOMAN MARKET WHOLESALE
MADAM CATHERINE CLINIC,206.42,ABEKA WHOLESALE
FUMESUA HEALTH CENTER,206.25,KUMASI WHOLESALE
KORLE - BU REPRODUCTIVE HEALTH CENTRE,206.25,AKUKOR FOTO WHOLESALE
MIGHTYCRAG MATERNITY HOME,206.25,MALLAM WHOLESALE
SIBAKON HOSPITAL,206.25,OFANKOR WHOLESALE
KWAME AGYEI CHEMICAL SHOPS,205.28,OFANKOR WHOLESALE
HIGHLY FAVOUR CHEMICAL SHOP,205.04,ASHAIMAN WHOLESALE
EDWARD PAPA APPIAH CHEMICAL,204.84,TANTRA HILL WHOLESALE
PATRICIA OTOO CHEMICAL,204.60,MALLAM WHOLESALE
JOSEPHINE CHEMICALS,204.00,OKAISHIE WHOLESALE
HILLOCK PHARMACY GH. LTD,203.56,DOME WHOLESALE
DEKAYS PHARMACY,203.00,ABEKA WHOLESALE
KOMAWAY OTC,203.00,PATASE WHOLESALE
MEDRX CHEMIST,203.00,ABEKA WHOLESALE
ROMART PHARMACY (MATAHEKO),203.00,OKAISHIE WHOLESALE
VIC - AVA PHARMACY,202.53,OKAISHIE WHOLESALE
BERNARD YEBOAH CHEMICAL,202.21,DANSOMAN MARKET WHOLESALE
STELLA CHEMICALS,200.70,OKAISHIE WHOLESALE
STEP TO CHRIST HOSPITAL,200.50,KORLE-BU WHOLESALE
STEREDA PHARMACEUTICAL LTD-WHOLESALE,200.17,OKAISHIE WHOLESALE
C N A MARKETING,200.00,OKAISHIE WHOLESALE
GIDEON ANTWI OTC,200.00,PATASE WHOLESALE
HAEMATOLOGY DEPARTMENT KORLE BU,200.00,KORLE-BU WHOLESALE
J. B CHEMICALS,200.00,OSU WHOLESALE
KOTOKU COMMUNITY CLINIC,200.00,OKAISHIE WHOLESALE
NOVA MEDICARE,200.00,KORLE-BU WHOLESALE
TRUSTY HERBAL CLINIC,200.00,KORLE-BU WHOLESALE
EMMANUEL DANSO CHEMICAL SHOP,199.67,KASOA WHOLESALE
MOUNTAIN VIEW SDA CHURCH,199.20,KORLE-BU WHOLESALE
OFAKO PHARMACY KASOA,199.20,OSU WHOLESALE
N A D  WOMEN  FELLOWSHIP,199.15,ABEKA WHOLESALE
ANN'S CHEMICAL SHOP,199.00,REPUBLIC WHOLESALE
EDEM CHEMICALS,199.00,ABEKA WHOLESALE
OFAKO PHARMACY KASOA,198.05,ABEKA WHOLESALE
DORMANSEAN PHARMACY,198.00,OKAISHIE WHOLESALE
MONIQUE CHEMISTS LTD,198.00,PATASE WHOLESALE
1ST FOUNDATION CLINIC,197.00,DOME WHOLESALE
GEORGINA NETTEY,196.80,NANAKROM WHOLESALE
ADOM TOTAL HEALTH CENTRE,196.40,KUMASI WHOLESALE
KELMED PHARMACEUTICALS LTD.,196.35,DOME WHOLESALE
OBISABAK PHARMACY,196.00,TANTRA HILL WHOLESALE
AVENUE CHEMIST,195.00,DANSOMAN MARKET WHOLESALE
FOOD AND DRUGS AUTHORITY,195.00,DANSOMAN MARKET WHOLESALE
RICH BAAH PHARMACY - AMASAMAN,195.00,MALLAM WHOLESALE
ASARE CHEMICAL,194.00,TANTRA HILL WHOLESALE
X STAR PHARMACY,194.00,OKAISHIE WHOLESALE
MEA PHARMACY,193.00,ABEKA WHOLESALE
DAN NTI KWARTENG CHEMICAL SHOP,191.30,DOME WHOLESALE
MERCY CHEMICAL MAMPROBI,190.36,ABEKA WHOLESALE
PILLS JOINT PHARMACY,190.10,ABEKA WHOLESALE
M. ASARE OTC,190.00,OKAISHIE WHOLESALE
DD PHARMACY,189.00,TANTRA HILL WHOLESALE
MEPRIO PHARMACY,188.76,KUMASI WHOLESALE
DAVJOEL PHARMACY LIMITED,188.10,OKAISHIE WHOLESALE
HEALTH OPTIONS PHARMACY,188.00,OKAISHIE WHOLESALE
WORSHIP EYECARE,187.50,KORLE-BU WHOLESALE
CHARITY CHEMICAL,186.75,TANTRA HILL WHOLESALE
KWADWO FRIMPONG CHEMICAL,185.71,MALLAM WHOLESALE
ST JOHN OF GOD CLINIC  (DODOWA RD -AMRAHIA),185.00,KORLE-BU WHOLESALE
C. HILL PHARMACY,184.00,OKAISHIE WHOLESALE
HIGH CLASS SCHOOL,183.80,KASOA WHOLESALE
GLORIA APPIAH CHEMICAL,183.41,DANSOMAN MARKET WHOLESALE
ABDUL - RAHMAN CHEMICAL,182.49,KORLE-BU WHOLESALE
KINGELA CHEMICALS,182.47,KORLE-BU WHOLESALE
METROPOLITAN HOSPITAL,182.00,OKAISHIE WHOLESALE
DAY SPRING CHEMICALS,181.80,KASOA WHOLESALE
APOSA  KORLE-BU,181.56,KORLE-BU WHOLESALE
F C TRADING,180.89,KORLE-BU WHOLESALE
BENDI CHEMIST,180.00,OKAISHIE WHOLESALE
CARE PILL PHARMACY,180.00,ASHAIMAN WHOLESALE
CYPSER PHARMACY,180.00,OFANKOR WHOLESALE
KINGSCHEM PHARMACY,180.00,OFANKOR WHOLESALE
LYNSAM CHEMIST,180.00,OKAISHIE WHOLESALE
MEDPOINT SOLUTION AND ENDOSCOPY UNIT,180.00,KORLE-BU WHOLESALE
THE ROCK HOSPITAL,180.00,MALLAM WHOLESALE
VINOLIA CHEMICAL,180.00,KORLE-BU WHOLESALE
AIRA PHARMACY,178.20,KASOA WHOLESALE
GOD'S OWN CHEMICALS,178.00,AKUKOR FOTO WHOLESALE
CLARON MEDICAL CENTRE,176.80,OKAISHIE WHOLESALE
PHARMADOPP CHEMICAL,176.77,OFANKOR WHOLESALE
HEALTHCOACH PHARMACY,176.50,OKAISHIE WHOLESALE
ANUM APAPAN HEALTH CENTER,176.00,OKAISHIE WHOLESALE
BCODECO PHARMACY,176.00,KUMASI WHOLESALE
BUKUNOR HEALTH CENTRE,176.00,ABEKA WHOLESALE
DEK PHARMA,176.00,KORLE-BU WHOLESALE
FRANK CHEMICAL,176.00,OFANKOR WHOLESALE
MAMA ROSE OTC,176.00,KUMASI WHOLESALE
MENJES CHEMICAL,176.00,MALLAM WHOLESALE
WISDOM AMUZU CHEMICAL SHOP,176.00,MALLAM WHOLESALE
YOMA CHEMIST,174.24,KORLE-BU WHOLESALE
ROYAL PARK HOSPITAL,174.00,OKAISHIE WHOLESALE
HEALTH EIGHT PLUS SERVICES,173.00,REPUBLIC WHOLESALE
BREES PHARMACY,172.00,KASOA WHOLESALE
JUDITH CLINIC,172.00,ABEKA WHOLESALE
HAMDIYAT MOHAMMED CHEMICAL SHOP,171.34,OKAISHIE WHOLESALE
THREE SISTERS PHARMACY,171.22,PATASE WHOLESALE
LYDWORD CLINIC,171.00,MALLAM WHOLESALE
VICOM HOSPITAL,171.00,OKAISHIE WHOLESALE
NYAHO MEDICAL CENTER,170.50,ASHAIMAN WHOLESALE
NAJO CHEMICAL,170.49,KORLE-BU WHOLESALE
OSON'S CHEMIST,170.00,TANTRA HILL WHOLESALE
OXFORD STREET CLINIC,170.00,OSU WHOLESALE
CELIA PHARMACY,169.60,OSU WHOLESALE
BRIDGET CHEMICALS,169.00,TANTRA HILL WHOLESALE
A E DIAGNOSTIC CONSULT,168.96,KORLE-BU WHOLESALE
SIKWA PHARMACY,168.96,TANTRA HILL WHOLESALE
APOSTOLIC HOSPITAL,168.30,KASOA WHOLESALE
PATARON CHEMICAL,167.95,ABEKA WHOLESALE
EVA PHARMACY LTD,167.81,ABEKA WHOLESALE
DEVAN CHEMICAL,167.09,ASHAIMAN WHOLESALE
MIZFRED PHARMACY,166.92,OFANKOR WHOLESALE
BENEDICTA CHEMICAL,166.20,OKAISHIE WHOLESALE
ADEL'S HEALTHCARE,166.00,OKAISHIE WHOLESALE
REBECA CHEMICAL,165.50,OKAISHIE WHOLESALE
DOME RCH,165.10,DOME WHOLESALE
KATE OSEI LICENSED CHEMICAL,165.00,OKAISHIE WHOLESALE
S.T.C HOSPITAL,165.00,KORLE-BU WHOLESALE
CARE FANNY PHARMACY,164.61,OKAISHIE WHOLESALE
TELAD PHARMACY,164.40,NANAKROM WHOLESALE
FOUNTAIN KIDS CHEMICALS,161.47,MALLAM WHOLESALE
ROYAL HOUSE CHAPEL INT,161.46,KORLE-BU WHOLESALE
BENTRUST VENTURES,161.19,OFANKOR WHOLESALE
FELIQUAD CHEMICAL SHOP,160.85,KASOA WHOLESALE
TREVI PHARMACY,160.38,OKAISHIE WHOLESALE
CARLWIL HEALTHCARE LIMITED,160.00,REPUBLIC WHOLESALE
GRACE CHEMICAL,160.00,OFANKOR WHOLESALE
OUR LADY OF GRACE HOSPITAL-BREMAN ASIKUMA,160.00,REPUBLIC WHOLESALE
DANSOMAN POLYCLINIC,159.79,MALLAM WHOLESALE
BB LICENSED OTC,158.85,MALLAM WHOLESALE
FREDAKU PHARMACY,158.80,KORLE-BU WHOLESALE
PATIENCE MARTEY CHEMICAL SHOP,158.40,OKAISHIE WHOLESALE
RITA SERWAA CHEMICAL,158.30,OFANKOR WHOLESALE
JILA PHARMACY,158.20,OKAISHIE WHOLESALE
SDA HOSPITAL-DENKYIRA DOMINASE,156.00,KUMASI WHOLESALE
SIGMA PHARMACY,155.80,ABEKA WHOLESALE
B-SODODZI CHEMICAL,155.50,DOME WHOLESALE
RIVERS DENTAL CLINIC,155.00,OFANKOR WHOLESALE
BOI HEALTH CENTER,154.38,OKAISHIE WHOLESALE
KORKOR CHEMIST,154.00,OKAISHIE WHOLESALE
NK SALEEM MEDICAL CENTRE,154.00,KORLE-BU WHOLESALE
EXTENDED  HEALTH CARE CENTER,153.93,DOME WHOLESALE
E. O. A CHEMICALS,153.01,MALLAM WHOLESALE
MEDITEL PHARMA LTD,152.80,TANTRA HILL WHOLESALE
MAHAMA CHEMICAL,152.45,ABEKA WHOLESALE
NOKO NGE JEMI,152.00,KORLE-BU WHOLESALE
RIVER AHAVA SOLUTION,152.00,DOME WHOLESALE
HIGH HEALTHCARE P&C,151.60,KORLE-BU WHOLESALE
MAVIS CHEMICAL SHOP - NYANYANO,151.16,NANAKROM WHOLESALE
ELISE CHEMICAL SHOP,150.75,TANTRA HILL WHOLESALE
ATTU CLINIC,150.00,KORLE-BU WHOLESALE
DIPLOMAT PHARMACY,150.00,ASHAIMAN WHOLESALE
HENOPA PHARMACY,150.00,OFANKOR WHOLESALE
MONTE OLIVOS MEDICAL CENTER,150.00,KASOA WHOLESALE
MYCRO CHEMIST,150.00,REPUBLIC WHOLESALE
USSHER HOSPITAL,150.00,KORLE-BU WHOLESALE
WEIJA GBAWE MUNICIPAL HOSPITAL,150.00,MALLAM WHOLESALE
GRACE BARNES OTCMS,149.45,MALLAM WHOLESALE
MEDREACH COMPANY LTD,149.20,TANTRA HILL WHOLESALE
GOD'S OWN CHEMICALS,149.00,OKAISHIE WHOLESALE
LIFE DOOR PHARMACY,149.00,OKAISHIE WHOLESALE
HEALTHY HEALTH PHARMACY,148.96,ABEKA WHOLESALE
SUNDA GHANA INVESTMENT,147.22,MALLAM WHOLESALE
JOYNOC PHARMACEUTICAL LTD,147.20,OKAISHIE WHOLESALE
PILL BAY PHARMACY,147.20,DANSOMAN MARKET WHOLESALE
BLESSED DIVINE & HERBAL CENTRE,147.00,DANSOMAN MARKET WHOLESALE
SHARP CHEMICAL,147.00,MALLAM WHOLESALE
BEFRANCE CHEMIST,146.00,OKAISHIE WHOLESALE
ELLEN OKEYERE OTC,145.75,OFANKOR WHOLESALE
A.B.A CHEMICAL - DANSOMAN,145.00,MALLAM WHOLESALE
LEONS PHARMACY,145.00,TANTRA HILL WHOLESALE
JETQUARSH CHEMICALS,144.00,KORLE-BU WHOLESALE
NORTH RIDGE CLINIC,144.00,KORLE-BU WHOLESALE
R O A PHARMACY,143.60,TANTRA HILL WHOLESALE
NATIONAL CARDIOTHORAIC CENTER,143.59,KORLE-BU WHOLESALE
MAK HEALTH CLINIC & PHARMACY LTD,143.00,KORLE-BU WHOLESALE
PEKI GOVERNMENT HOSPITAL,143.00,KORLE-BU WHOLESALE
PRISSPICE HEALTH CONSULT,142.80,ASHAIMAN WHOLESALE
ISRAEL HERBAL,141.07,DOME WHOLESALE
JOYCE CHEMICAL SHOP,140.20,ABEKA WHOLESALE
AGNES OFORI COMM HOSP,140.00,KORLE-BU WHOLESALE
E K PHARMACY,140.00,DOME WHOLESALE
FRANBEL HOSPITAL - KASOA,140.00,MALLAM WHOLESALE
NHYIRA  DRUG STORE,139.33,ASHAIMAN WHOLESALE
VUINTA HEALTH CENTER,139.00,DOME WHOLESALE
KOJACH PHARMACEUTICAL LTD,138.72,KORLE-BU WHOLESALE
PHARMATRUST PHARMACY (WHOLESALE),138.43,ABEKA WHOLESALE
AKWASI AGYNEMAN CHEMICAL,137.80,OKAISHIE WHOLESALE
AB-NOMO PHARMACY,137.42,KASOA WHOLESALE
PHENOM PHARMACEUTICALS,136.50,ABEKA WHOLESALE
PAULY'S BABY FANCY,136.40,ABEKA WHOLESALE
RICHARD ANTHONY OTC,136.18,TANTRA HILL WHOLESALE
DORIS AGYEKUM CHEMICALS,136.00,KASOA WHOLESALE
ABOUT YOUR HEALTH SERVICES,135.00,MALLAM WHOLESALE
KASSEH HEALTH CENTRE,135.00,KORLE-BU WHOLESALE
PROVIDENCE CHEMICAL,135.00,NANAKROM WHOLESALE
RO MOVE -ON CHEMICALS,134.70,KASOA WHOLESALE
GODS WORD CHEMICALS,134.55,REPUBLIC WHOLESALE
QUICK RELIEF CHEMICAL,134.24,ABEKA WHOLESALE
ANTHONY CHEMICAL,133.60,MALLAM WHOLESALE
AGNES CHEMIST,132.54,ASHAIMAN WHOLESALE
